collectioncode,seriescode,ocean,station_name,station_type,stn_lat,stn_long,stationstatus,locality,model,instrumenttype,deploy_date,last_download,recovery_date,downloads,off_set,the_geom,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,50.61,5.58,active,,VR2W,rcvr,20171019,,,1,,010100000052B81E85EB511640AE47E17A144E4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,50.62,5.58,active,,VR2W,rcvr,20171019,,,1,,010100000052B81E85EB5116408FC2F5285C4F4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,50.62,5.58,active,,VR2W,rcvr,20150929,,,1,,010100000052B81E85EB5116408FC2F5285C4F4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,50.63,5.57,active,,VR2W,rcvr,20171019,,,1,,010100000048E17A14AE471640713D0AD7A3504940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,50.63,5.58,active,,VR2W,rcvr,20150929,,,1,,010100000052B81E85EB511640713D0AD7A3504940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,50.64,5.59,active,,VR2W,rcvr,20150929,,,1,,01010000005C8FC2F5285C164052B81E85EB514940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,50.65,5.6,active,,VR2W,rcvr,20171019,,,1,,1.01E+40,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,50.65,5.61,active,,VR2W,rcvr,20171019,,,1,,0101000000713D0AD7A37016403333333333534940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,50.65,5.62,active,,VR2W,rcvr,20150929,,,1,,01010000007B14AE47E17A16403333333333534940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,50.66,5.63,active,,VR2W,rcvr,20171023,,,1,,010100000085EB51B81E85164014AE47E17A544940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,50.66,5.64,active,,VR2W,rcvr,20140724,,,1,,01010000008FC2F5285C8F164014AE47E17A544940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,50.71,5.67,active,,VR2W,rcvr,20150929,,,1,,0101000000AE47E17A14AE16407B14AE47E15A4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,50.81,5.67,active,,VR2W,rcvr,20160212,,,1,,0101000000AE47E17A14AE164048E17A14AE674940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,50.86,5.64,active,,VR2W,rcvr,20170612,,,1,,01010000008FC2F5285C8F1640AE47E17A146E4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,50.89,5.57,active,,VR2W,rcvr,20171106,,,1,,010100000048E17A14AE47164052B81E85EB714940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,50.94,5.33,active,,VR2W,rcvr,20171024,,,1,,010100000052B81E85EB511540B81E85EB51784940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,50.94,5.36,active,,VR2W,rcvr,20171024,,,1,,0101000000713D0AD7A3701540B81E85EB51784940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,50.94,5.37,active,,VR2W,rcvr,20171106,,,1,,01010000007B14AE47E17A1540B81E85EB51784940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,50.94,5.43,active,,VR2W,rcvr,20171024,,,1,,0101000000B81E85EB51B81540B81E85EB51784940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,50.94,5.44,active,,VR2W,rcvr,20171024,,,1,,0101000000C3F5285C8FC21540B81E85EB51784940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,50.94,5.49,active,,VR2W,rcvr,20171106,,,1,,0101000000F6285C8FC2F51540B81E85EB51784940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,50.94,5.5,active,,VR2W,rcvr,20171106,,,1,,01010000000000000000001640B81E85EB51784940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,50.97,5.27,active,,VR2W,rcvr,20171024,,,1,,010100000014AE47E17A1415405C8FC2F5287C4940,,,,,,,,,,,,,,,,,,,,,,,,
