year;scientific_name;project;detection_count;individual_count
2010;Anguilla anguilla;Garmerwolde;1;1
2010;Gadus morhua;PhD JR;118330;19
2011;Anguilla anguilla;Garmerwolde;1;1
2011;Gadus morhua;MEPNSW;1;1
2011;Gadus morhua;PhD JR;603830;23
2011;Lampetra fluviatilis;Rivierprik;17342;8
2012;Anguilla anguilla;Albertkanaal;957;1
2012;Anguilla anguilla;Boekhoute;636635;87
2012;Gadus morhua;PhD JR;51746;5
2012;Lampetra fluviatilis;Rivierprik;99706;28
2013;Anguilla anguilla;Albertkanaal;11964;7
2013;Anguilla anguilla;Boekhoute;891859;45
2014;Anguilla anguilla;Albertkanaal;264967;64
2014;Anguilla anguilla;Boekhoute;585949;22
2014;Anguilla anguilla;Delfzijl Drie Delfzijlen;105;3
2014;Gadus morhua;LifeWatch;40705;8
2014;Petromyzon marinus;Demer;1119;2
2014;Rutilus rutilus;Demer;11030;2
2014;salmo salar;Albertkanaal;2;1
2014;Salmo salar;Albertkanaal;79423;14
2014;Silurus glanis;Demer;71734;9
2014;Squalius cephalus;Demer;159242;3
2015;Alosa fallax;Fint2015;15931;7
2015;Anguilla anguilla;Albertkanaal;857734;77
2015;Anguilla anguilla;Boekhoute;134721;12
2015;Anguilla anguilla;Delfzijl Drie Delfzijlen;11;3
2015;Anguilla anguilla;Garmerwolde;1;1
2015;Anguilla anguilla;LifeWatch;452882;42
2015;Anguilla anguilla;Mechelen;41798;1
2015;Cyprinus carpio;Mechelen;4944;2
2015;Gadus morhua;LifeWatch;233637;37
2015;Gadus morhua;PhD JR;1;1
2015;Homarus gammarus;Homarus;22265;2
2015;Petromyzon marinus;Demer;42;1
2015;Platichthys flesus;Mechelen;95962;8
2015;Rutilus rutilus;Mechelen;7870;4
2015;Salmo salar;Albertkanaal;21076;10
2015;Silurus glanis;Demer;9920;5
2015;Silurus glanis;Mechelen;68062;11
2015;Squalius cephalus;Demer;13733;1
2016;Alosa fallax;Fint2015;784;1
2016;Alosa fallax;Fint2016;14457;23
2016;Anguilla anguilla;Albertkanaal;2357545;85
2016;Anguilla anguilla;Boekhoute;1;1
2016;Anguilla anguilla;Friesland, Miedema;1;1
2016;Anguilla anguilla;Garmerwolde;11;6
2016;Anguilla anguilla;LifeWatch;771482;60
2016;Anguilla anguilla;Noordzeekanaal;1;1
2016;Gadus morhua;CodNoise;906607;14
2016;Gadus morhua;LifeWatch;193605;22
2016;Limanda limanda;Flatfish;4453;3
2016;Microstomus kitt;Flatfish;609;1
2016;Platichthys flesus;Mechelen;5526;3
2016;Pleuronectes platessa;Flatfish;4861;2
2016;Salmo salar;Albertkanaal;722243;43
2016;Silurus glanis;Demer;3629;2
2016;Silurus glanis;Mechelen;9379;3
2017;Alosa fallax;Fint2016;3962;5
2017;Anguilla anguilla;Albertkanaal;1086461;51
2017;Anguilla anguilla;Boekhoute;4;1
2017;Anguilla anguilla;Friesland, Schalsum;1;1
2017;Anguilla anguilla;LifeWatch;231152;57
2017;Anguilla anguilla;Noordzeekanaal;60;4
2017;Gadus morhua;CodNoise;97;1
2017;Gadus morhua;LifeWatch;164045;6
2017;Gadus morhua;PhD van der Knaap;794146;52
2017;Limanda limanda;Flatfish;1393;4
2017;Pleuronectes platessa;Flatfish;419;2
2017;salmo salar;Albertkanaal;553852;29
2017;Silurus glanis;Demer;258;1
2017;Silurus glanis;Mechelen;890;1
