id_pk,station_name,deploy_lat,deploy_long,det_count
1558,ak-1,50.614739,5.579158,886
1559,ak-10,50.654402,5.622823,429
1560,ak-11,50.65697,5.626992,1719
2835,ak-12,50.657856,5.644622,1817
1561,ak-13,50.702052,5.67876,8
3290,ak-14,50.714109,5.672638,59
1563,ak-17,50.807726,5.674801,1130
1564,ak-19,50.8608382,5.6386158,14280
1565,ak-2,50.618026,5.591871,176
2674,ak-21,50.888339,5.57446,102940
1568,ak-22,50.9356423,5.4970086,46238
1569,ak-23,50.9357743,5.487716,15311
1474,ak-24,50.9380396,5.4373164,87169
1571,ak-25,50.9385133,5.4270421,198484
1572,ak-26,50.9406125,5.3743823,197914
1746,ak-27,50.9406792,5.3643243,7512
1401,ak-28,51.096684,5.108784,299015
1476,ak-29,51.096888,5.1133155,1687156
1574,ak-3,50.62285,5.580676,1263
1385,ak-30,50.097208,5.109596,91093
1377,ak-31,51.097875,5.108846,195431
1464,ak-32,51.098211,5.108959,280921
1542,ak-33,51.0985513,5.1029468,496841
2774,ak-34,51.1282853,5.1413858,15288
2440,ak-35,51.1576335,4.8653041,123333
1544,ak-36,51.159335,4.85635,197031
2433,ak-38,51.168795,4.835036,1
1766,ak-39,51.2248728,4.544249,72039
1584,ak-4,50.62285,5.580676,1793
1765,ak-40,51.2281277,4.5332846,118082
1486,ak-41,51.239128,4.397469,1457
1487,ak-42,51.242076,4.403539,6890
1488,ak-44,51.273737,4.332208,721
1489,ak-45,51.280982,4.329702,1554
1490,ak-46,51.344943,4.290537,3063
1491,ak-47,51.345793,4.278738,287
1492,ak-48,51.367743,4.3015,233
1394,ak-5,50.627465,5.573548,3461
1576,ak-6,50.633529,5.576963,1254
1577,ak-7,50.636918,5.585103,1619
1578,ak-8,50.648447,5.603056,11131
1579,ak-9,50.650369,5.611382,132328
1473,ak-x,51.097476,5.109196,6607
2030,bn-Lier,51.11731,4.54958,448
2291,bn-Walem,51.07183,4.45474,133
1545,bpns-A1BIS,51.361333,2.967,183
1633,bpns-BelwindReefballs,51.70442,2.81259,30041
2118,bpns-BIRKENFELS,51.649333,2.533833333,8
2651,bpns-CPowerReefballs,51.5800044,2.9954894,157869
1547,bpns-D1,51.2325,2.643166667,9
1438,bpns-KB2,51.350667,2.703666667,24
1634,bpns-Kilmore,51.3955,2.4965,29717
1927,bpns-LottoBuoy,51.5666667,2.983333,87896
1395,bpns-NIEUWPOORTKUST8,51.160167,2.691833333,17
1631,bpns-OH6,51.239667,2.9215,516
1549,bpns-OOSTDYCK,51.356333,2.518666667,3
1550,bpns-S4,51.417167,3.0475,89
1845,bpns-S7,51.399667,3.173666667,172
2469,bpns-Trapegeer,51.14033333,2.573,33
1274,bpns-VG2,51.4325,2.802,179
1554,bpns-W1,51.391333,3.303666667,402
2186,bpns-WENDUINEBANKW,51.287167,2.879166667,14
1265,bpns-WK12,51.461167,3.107,20223
1556,bpns-WK14,51.3685,3.262,1483
1635,bpns-WZ,51.376167,3.178666667,452
1430,de-12,50.9911178,5.0574492,9749
1382,de-22,NA,NA,622
2273,du-Hamveer,51.10507,4.14106,1
2028,gn-Lier,51.13594,4.59381,782
1712,HH1,50.941845,5.334551,22270
1595,HH10,51.154979,5.147086,909367
1596,HH11,51.194393,5.155753,11111
1597,HH2,50.965597,5.287241,15666
1598,HH3,50.973296,5.270083,45942
1599,HH4,50.99323,5.245137,54171
1600,HH5,51.016368,5.233414,906403
1716,HH6,51.041797,5.21874,52039
2129,HH7,51.055307,5.208966,49452
1698,HH8,51.076378,5.170783,277392
1604,HH9,51.092742,5.137916,93693
2029,kn-Lier,51.14993,4.58453,1321
1587,M-1,51.01136918,4.520968635,12432
1803,M-2,51.02082596,4.498485779,60760
1589,M-3,51.0229057,4.497271313,130021
1590,M-4,51.02483717,4.495207458,184663
1591,M-4A,51.025057,4.495476,105420
1756,M-5,51.0340958,4.471940005,4976
1736,M-6,51.05546566,4.442865645,16438
1453,ma-1,50.863936,5.699716,307
1454,ma-2,50.865472,5.697744,292345
1380,ma-3,50.959753,5.742085,135
1456,ma-4,50.878418,5.677845,32157
1457,ma-5,50.882698,5.706716,756
1443,ma-6,51.637577,5.996046,12
1444,ma-7,51.637311,5.993471,27
1445,ma-8,51.636119,5.992666,46
1446,ma-9,51.637191,5.993428,13
1337,me-7-2,51.082219,4.366229,928
1509,S02,51.096973,5.110242,478810
1830,S07,51.096973,5.110242,981562
2196,S08,51.097872,5.109724,1632563
2288,S09,51.097162,5.11063,946032
2505,S09-2,51.097162,5.11063,794466
1493,s-1,51.02811,3.78691,4304
1508,S10,51.097225,5.110328,1243303
1985,s-10a,51.235423,4.396673,3007
1605,s-11,51.29646,4.2857,2774
1510,S12,51.096669,5.111477,1205214
1606,s-12,51.30305,4.28731,367
1511,S13,51.097103,5.111644,1377640
1517,S14,51.098103,5.110244,1475960
1512,S15,51.09763,5.108964,1030886
1513,S16,51.097907,5.109191,1415613
1514,S17,51.098163,5.109424,1222383
1516,S18,51.097433,5.109707,1436014
2256,s-2,51.00588,3.77876,110437
1379,s-2a,51.02032,3.96965,840234
1495,s-3,51.0434,4.04783,98046
1496,s-4,51.04231,4.0945,12413
1469,s-4a,51.03203,4.18166,5469
1781,s-4b,51.05593,4.20024,32777
2258,s-4c,51.07363,4.19007,19520
1497,s-5,51.09258,4.17083,5213
1498,s-6,51.12287,4.2184,16736
1499,s-7,51.11414,4.24123,13827
1500,s-8,51.14319,4.33078,8288
1607,s-8a,51.14222,4.32646,1902
1501,s-9,51.19069,4.32954,4827
1608,s-9a,51.19068,4.33602,4732
2033,s-Dendermonde,51.03855,4.1175,41572
2034,s-Vlassenbroek,51.03955,4.16605,871
2027,s-Wetteren,51.00164,3.85695,49672
2026,s-Wichelen,51.0168,3.92527,14978
1520,ws-11,51.4116308,3.7074635,6367
1387,ws-12A,51.3648799,3.765539,842
1522,ws-13,51.4071859,3.7080883,35753
