"","receiver","id_pk","station_name","deploy_date_time","recover_date_time","deploy_lat","deploy_long","detection_count","sum_deploy"
"1","VR2-2912",2093,"07 MG entremontes","00:00.0","00:00.0",38.5228,-28.622,11651,43777
"2","VR2-2914",2082,"03 MG caldeirinha fora","00:00.0","00:00.0",38.5164,-28.6264,128307,614714
"3","VR2-2920",2078,"02 MG almeida","00:00.0","00:00.0",38.5167,-28.6319,1549,8189
"4","VR2-2961",2075,"01 MG pasteleiro","00:00.0","00:00.0",38.51973,-28.63908,1547,1547
"5","VR2-2961",2076,"01 MG Pasteleiro","00:00.0","00:00.0",38.5197,-28.6391,796,796
"6","VR2-3054",2097,"08 MG doca","00:00.0","00:00.0",38.5285,-28.6203,27614,28135
"7","VR2-3055",2087,"06 MG ponta radares","00:00.0","00:00.0",38.5191,-28.6192,1817,15068
"8","VR2-4833",2304,"stMel","00:00.0","00:00.0",51.00435542,3.805413233,58,205
"9","VR2-5326",2388,"MerAsp","00:00.0","00:00.0",50.9723361,3.70150512,355,4050
"10","VR2-5773",1356,"AspOud","00:00.0","00:00.0",50.88042487,3.632977841,687,2271
"11","VR2-5936",1357,"stgKer","00:00.0","00:00.0",50.7917709,3.496742904,7697,30349
"12","VR2-7328",2086,"04 MG caldeirinha dentro","00:00.0","00:00.0",38.5183,-28.6278,95354,95354
"13","VR2AR-545564",1670,"500m","00:00.0","00:00.0",NA,NA,35418,35418
"14","VR2AR-545564",1677,"Belreef 2","00:00.0","00:00.0",51.4066,3.459,17362,17362
"15","VR2AR-545588",1687,"WS-250m","00:00.0","00:00.0",51.40839,3.45679,5952,43868
"16","VR2AR-545588",1855,"BPNS-Belreef1","00:00.0","00:00.0",51.40839,3.45679,19246,19246
"17","VR2AR-545718",1518,"bpns-C05AR1Belwind","00:00.0","00:00.0",51.671118,2.800503,166920,193321
"18","VR2AR-545718",2054,"bpns-CNB05","00:00.0","00:00.0",51.6703,2.80098,269500,301730
"19","VR2AR-545718",2726,"PC4C-C05-1","00:00.0","00:00.0",51.66781,2.799806,57847,57847
"20","VR2AR-545720",1519,"bpns-C05AR3Belwind","00:00.0","00:00.0",51.667386,2.79966,17423,97517
"21","VR2AR-545720",2056,"bpns-CNB06","00:00.0","00:00.0",51.66882,2.80399,393841,429455
"22","VR2AR-545720",2727,"PC4C-C05-2","00:00.0","00:00.0",51.667924,2.801819,89687,89687
"23","VR2AR-546043",1993,"bpns-RTNZ01","00:00.0","00:00.0",51.55004529,2.940354651,63433,63433
"24","VR2AR-546043",2051,"bpns-CNB02","00:00.0","00:00.0",51.67115,2.80438,241905,241905
"25","VR2AR-546043",2728,"PC4C-C05-3","00:00.0","00:00.0",51.667783,2.804181,97597,97597
"26","VR2AR-546044",1994,"bpns-RTNZ02","00:00.0","00:00.0",51.54877,2.93566,76079,76079
"27","VR2AR-546044",2052,"bpns-CNB03","00:00.0","00:00.0",51.66968,2.80741,193639,193639
"28","VR2AR-546044",2729,"PC4C-C05-4","00:00.0","00:00.0",51.669307,2.798596,52467,52467
"29","VR2AR-546045",1995,"bpns-RTNZ03","00:00.0","00:00.0",51.54813,2.93679,73289,73289
"30","VR2AR-546045",2053,"bpns-CNB04","00:00.0","00:00.0",51.67174,2.79819,132606,132606
"31","VR2AR-546045",2730,"PC4C-C05-5","00:00.0","00:00.0",51.669191,2.800965,101233,101233
"32","VR2AR-546046",1996,"bpns-RTNZ04","00:00.0","00:00.0",51.54795,2.93738,76479,76479
"33","VR2AR-546046",2057,"bpns-CNB07","00:00.0","00:00.0",51.66726,2.80668,317313,317313
"34","VR2AR-546047",1997,"bpns-RTNZ05","00:00.0","00:00.0",51.54766,2.93799,78099,78099
"35","VR2AR-546047",2058,"bpns-CNB08","00:00.0","00:00.0",51.6707,2.79492,103045,121697
"36","VR2AR-546047",2731,"PC4C-C05-6","00:00.0","00:00.0",51.66907215,2.803045659,119716,119716
"37","VR2AR-546048",1998,"bpns-RTNZ06","00:00.0","00:00.0",51.54584,2.94207,50723,50723
"38","VR2AR-546048",2059,"bpns-CNB09","00:00.0","00:00.0",51.66936,2.7976,149490,321178
"39","VR2AR-546048",2732,"PC4C-C05-7","00:00.0","00:00.0",51.669073,2.805157,92699,92699
"40","VR2AR-546049",1999,"bpns-RTNZ07","00:00.0","00:00.0",51.5456,2.94265,43687,43687
"41","VR2AR-546051",2062,"bpns-CNB12","00:00.0","00:00.0",51.66854,2.79434,70460,70460
"42","VR2AR-546052",2063,"bpns-CNB13","00:00.0","00:00.0",51.66725,2.79721,87311,185643
"43","VR2AR-546052",2734,"PC4C-C05-9","00:00.0","00:00.0",51.670454,2.801809,95955,95955
"44","VR2AR-546621",2735,"PC4C-C05-10","00:00.0","00:00.0",51.670484,2.803925,89000,89000
"45","VR2AR-546622",2736,"PC4C-F05-1","00:00.0","00:00.0",51.703208,2.80724,125844,125844
"46","VR2AR-546891",2725,"PC4C-F05-2","00:00.0","00:00.0",51.70418,2.80918,108556,108556
"47","VR2AR-546892",2737,"PC4C-F05-3","00:00.0","00:00.0",51.703239,2.810504,124319,124319
"48","VR2AR-546893",2738,"PC4C-F05-4","00:00.0","00:00.0",51.702026,2.810773,131257,131257
"49","VR2AR-546894",2739,"PC4C-F05-5","00:00.0","00:00.0",51.70135,2.808863,131040,131040
"50","VR2AR-546895",2740,"PC4C-F05-6","00:00.0","00:00.0",51.7022,2.807082,129196,129196
"51","VR2AR-546896",2741,"PC4C-F05-7","00:00.0","00:00.0",51.702623,2.808361,129694,129694
"52","VR2AR-546897",2742,"PC4C-F05-8","00:00.0","00:00.0",51.702645,2.810057,136007,136007
"53","VR2C69-450113",1927,"bpns-LottoBuoy","00:00.0","00:00.0",51.5666667,2.983333,6023,87896
"54","VR2C69-450114",1376,"bpns-B05BELWIND","00:00.0","00:00.0",51.671667,2.796965,14419,70796
"55","VR2Tx-480061",1634,"bpns-Kilmore","00:00.0","00:00.0",51.3955,2.4965,29717,29717
"56","VR2Tx-480061",2055,"bpns-WKSabrina","00:00.0","00:00.0",51.221667,2.518683,38429,83084
"57","VR2Tx-480061",2162,"bpns-Duc de Normandie","00:00.0","00:00.0",51.4253,2.6055,33,33
"58","VR2Tx-480063",2050,"bpns-CNB14","00:00.0","00:00.0",51.66594,2.79998,180335,180335
"59","VR2Tx-480720",2178,"VLVS7","00:00.0","00:00.0",51.35019,4.15036,338510,338510
"60","VR2Tx-480721",2166,"VLVS2","00:00.0","00:00.0",51.34472,4.13151,342038,342038
"61","VR2Tx-480722",2175,"VLVS14","00:00.0","00:00.0",51.36045,4.17565,340888,340888
"62","VR2Tx-480723",2118,"bpns-BIRKENFELS","00:00.0","00:00.0",51.649333,2.533833333,8,8
"63","VR2Tx-480723",2651,"bpns-CPowerReefballs","00:00.0","00:00.0",51.5800044,2.9954894,66000,157869
"64","VR2Tx-480876",2505,"S09-2","00:00.0","00:00.0",51.097162,5.11063,283000,794466
"65","VR2W-106251",1248,"R01","00:00.0","00:00.0",51.552,2.923,5620,232793
"66","VR2W-106251",1549,"bpns-OOSTDYCK","00:00.0","00:00.0",51.356333,2.518666667,3,3
"67","VR2W-106252",1251,"R02","00:00.0","00:00.0",51.55092,2.92157,57153,57153
"68","VR2W-106253",1253,"R03","00:00.0","00:00.0",51.54947,2.92248,41120,76809
"69","VR2W-108474",1550,"bpns-S4","00:00.0","00:00.0",51.417167,3.0475,10,89
"70","VR2W-110778",1252,"R04","00:00.0","00:00.0",51.54957,2.92508,40242,356378
