receiver,id_pk,station_name,deploy_date_time,recover_date_time,deploy_lat,deploy_long,detection_count
VR2-2912,2093,07 MG entremontes,00:00.0,00:00.0,38.5228,-28.622,11651
VR2-2912,2094,07 MG entremontes,00:00.0,00:00.0,38.5228,-28.622,25063
VR2-2912,2095,07 MG entremontes,00:00.0,00:00.0,38.5228,-28.622,7063
VR2-2914,2082,03 MG caldeirinha fora,00:00.0,00:00.0,38.5164,-28.6264,128307
VR2-2914,2083,03 MG caldeirinha fora,00:00.0,00:00.0,38.5164,-28.6264,117297
VR2-2914,2084,03 MG caldeirinha fora,00:00.0,00:00.0,38.5164,-28.6264,129316
VR2-2914,2085,03 MG caldeirinha fora,00:00.0,00:00.0,38.5164,-28.6264,239794
VR2-2920,2078,02 MG almeida,00:00.0,00:00.0,38.5167,-28.6319,1549
VR2-2920,2079,02 MG almeida,00:00.0,00:00.0,38.5167,-28.6319,5794
VR2-2920,2080,02 MG almeida,00:00.0,00:00.0,38.5167,-28.6319,846
VR2-2961,2075,01 MG pasteleiro,00:00.0,00:00.0,38.51973,-28.63908,1547
VR2-2961,2076,01 MG Pasteleiro,00:00.0,00:00.0,38.5197,-28.6391,796
VR2-3054,2097,08 MG doca,00:00.0,00:00.0,38.5285,-28.6203,27614
VR2-3054,2098,08 MG doca,00:00.0,00:00.0,38.5285,-28.6203,360
VR2-3054,2099,08 MG doca,00:00.0,00:00.0,38.5285,-28.6203,161
VR2-3055,2087,06 MG ponta radares,00:00.0,00:00.0,38.5191,-28.6192,1817
VR2-3055,2088,06 MG ponta radares,00:00.0,00:00.0,38.5191,-28.6192,5559
VR2-3055,2089,06 MG ponta radares,00:00.0,00:00.0,38.5191,-28.6192,1065
VR2-3055,2090,06 MG ponta radares,00:00.0,00:00.0,38.5191,-28.6192,6627
VR2-4833,2304,stMel,00:00.0,00:00.0,51.00435542,3.805413233,58
VR2-4833,2305,stMel,00:00.0,00:00.0,51.00435542,3.805413233,147
VR2-5326,2388,MerAsp,00:00.0,00:00.0,50.9723361,3.70150512,355
VR2-5326,2389,MerAsp,00:00.0,00:00.0,50.9723361,3.70150512,411
VR2-5326,2390,MerAsp,00:00.0,00:00.0,50.9723361,3.70150512,3284
VR2-5773,1356,AspOud,00:00.0,00:00.0,50.88042487,3.632977841,687
VR2-5773,2385,AspOud,00:00.0,00:00.0,50.88042487,3.632977841,747
VR2-5773,2386,AspOud,00:00.0,00:00.0,50.88042487,3.632977841,837
VR2-5936,1357,stgKer,00:00.0,00:00.0,50.7917709,3.496742904,7697
VR2-5936,2350,stgKer,00:00.0,00:00.0,50.7917709,3.496742904,11152
VR2-5936,2351,stgKer,00:00.0,00:00.0,50.7917709,3.496742904,11500
VR2-7328,2086,04 MG caldeirinha dentro,00:00.0,00:00.0,38.5183,-28.6278,95354
VR2AR-545564,1670,500m,00:00.0,00:00.0,,,35418
VR2AR-545564,1677,Belreef 2,00:00.0,00:00.0,51.4066,3.459,17362
VR2AR-545588,1687,WS-250m,00:00.0,00:00.0,51.40839,3.45679,5952
VR2AR-545588,1854,WS-250m,00:00.0,00:00.0,51.40839,3.45679,37916
VR2AR-545588,1855,BPNS-Belreef1,00:00.0,00:00.0,51.40839,3.45679,19246
VR2AR-545718,1518,bpns-C05AR1Belwind,00:00.0,00:00.0,51.671118,2.800503,166920
VR2AR-545718,1688,bpns-C05AR1Belwind,00:00.0,00:00.0,51.671118,2.800503,26401
VR2AR-545718,2054,bpns-CNB05,00:00.0,00:00.0,51.6703,2.80098,269500
VR2AR-545718,2209,bpns-CNB05,00:00.0,00:00.0,51.6703,2.80098,32230
VR2AR-545718,2726,PC4C-C05-1,00:00.0,00:00.0,51.66781,2.799806,57847
VR2AR-545720,1519,bpns-C05AR3Belwind,00:00.0,00:00.0,51.667386,2.79966,17423
VR2AR-545720,2036,bpns-C05AR3Belwind,00:00.0,00:00.0,51.667386,2.79966,80094
VR2AR-545720,2056,bpns-CNB06,00:00.0,00:00.0,51.66882,2.80399,393841
VR2AR-545720,2210,bpns-CNB06,00:00.0,00:00.0,51.66882,2.80399,35614
VR2AR-545720,2727,PC4C-C05-2,00:00.0,00:00.0,51.667924,2.801819,89687
VR2AR-546043,1993,bpns-RTNZ01,00:00.0,00:00.0,51.55004529,2.940354651,63433
VR2AR-546043,2051,bpns-CNB02,00:00.0,00:00.0,51.67115,2.80438,241905
VR2AR-546043,2728,PC4C-C05-3,00:00.0,00:00.0,51.667783,2.804181,97597
VR2AR-546044,1994,bpns-RTNZ02,00:00.0,00:00.0,51.54877,2.93566,76079
VR2AR-546044,2052,bpns-CNB03,00:00.0,00:00.0,51.66968,2.80741,193639
VR2AR-546044,2729,PC4C-C05-4,00:00.0,00:00.0,51.669307,2.798596,52467
VR2AR-546045,1995,bpns-RTNZ03,00:00.0,00:00.0,51.54813,2.93679,73289
VR2AR-546045,2053,bpns-CNB04,00:00.0,00:00.0,51.67174,2.79819,132606
VR2AR-546045,2730,PC4C-C05-5,00:00.0,00:00.0,51.669191,2.800965,101233
VR2AR-546046,1996,bpns-RTNZ04,00:00.0,00:00.0,51.54795,2.93738,76479
VR2AR-546046,2057,bpns-CNB07,00:00.0,00:00.0,51.66726,2.80668,317313
VR2AR-546047,1997,bpns-RTNZ05,00:00.0,00:00.0,51.54766,2.93799,78099
VR2AR-546047,2058,bpns-CNB08,00:00.0,00:00.0,51.6707,2.79492,103045
VR2AR-546047,2212,bpns-CNB08,00:00.0,00:00.0,51.6707,2.79492,18652
VR2AR-546047,2731,PC4C-C05-6,00:00.0,00:00.0,51.66907215,2.803045659,119716
VR2AR-546048,1998,bpns-RTNZ06,00:00.0,00:00.0,51.54584,2.94207,50723
VR2AR-546048,2059,bpns-CNB09,00:00.0,00:00.0,51.66936,2.7976,149490
VR2AR-546048,2213,bpns-CNB09,00:00.0,00:00.0,51.66936,2.7976,149490
VR2AR-546048,2214,bpns-CNB09,00:00.0,00:00.0,51.66936,2.7976,22198
VR2AR-546048,2732,PC4C-C05-7,00:00.0,00:00.0,51.669073,2.805157,92699
VR2AR-546049,1999,bpns-RTNZ07,00:00.0,00:00.0,51.5456,2.94265,43687
VR2AR-546051,2062,bpns-CNB12,00:00.0,00:00.0,51.66854,2.79434,70460
VR2AR-546052,2063,bpns-CNB13,00:00.0,00:00.0,51.66725,2.79721,87311
VR2AR-546052,2215,bpns-CNB13,00:00.0,00:00.0,51.66725,2.79721,87311
VR2AR-546052,2216,bpns-CNB13,00:00.0,00:00.0,51.66725,2.79721,11021
VR2AR-546052,2734,PC4C-C05-9,00:00.0,00:00.0,51.670454,2.801809,95955
VR2AR-546621,2735,PC4C-C05-10,00:00.0,00:00.0,51.670484,2.803925,89000
VR2AR-546622,2736,PC4C-F05-1,00:00.0,00:00.0,51.703208,2.80724,125844
VR2AR-546891,2725,PC4C-F05-2,00:00.0,00:00.0,51.70418,2.80918,108556
VR2AR-546892,2737,PC4C-F05-3,00:00.0,00:00.0,51.703239,2.810504,124319
VR2AR-546893,2738,PC4C-F05-4,00:00.0,00:00.0,51.702026,2.810773,131257
VR2AR-546894,2739,PC4C-F05-5,00:00.0,00:00.0,51.70135,2.808863,131040
VR2AR-546895,2740,PC4C-F05-6,00:00.0,00:00.0,51.7022,2.807082,129196
VR2AR-546896,2741,PC4C-F05-7,00:00.0,00:00.0,51.702623,2.808361,129694
VR2AR-546897,2742,PC4C-F05-8,00:00.0,00:00.0,51.702645,2.810057,136007
VR2C69-450113,1927,bpns-LottoBuoy,00:00.0,00:00.0,51.5666667,2.983333,6023
VR2C69-450113,3334,bpns-LottoBuoy,00:00.0,00:00.0,51.5666667,2.983333,62834
VR2C69-450114,1376,bpns-B05BELWIND,00:00.0,00:00.0,51.671667,2.796965,14419
VR2C69-450114,1651,bpns-B05BELWIND,00:00.0,00:00.0,51.671667,2.796965,56377
VR2C69-450136,1392,bpns-LottoBuoy,00:00.0,00:00.0,51.5666667,2.983333,3184
VR2C69-450136,1690,bpns-LottoBuoy,00:00.0,00:00.0,51.5666667,2.983333,15855
VR2Tx-480061,1634,bpns-Kilmore,00:00.0,00:00.0,51.3955,2.4965,29717
VR2Tx-480061,2055,bpns-WKSabrina,00:00.0,00:00.0,51.221667,2.518683,38429
VR2Tx-480061,2162,bpns-Duc de Normandie,00:00.0,00:00.0,51.4253,2.6055,33
VR2Tx-480062,1538,bpns-WKSabrina,00:00.0,00:00.0,51.221667,2.518683,44654
VR2Tx-480063,2050,bpns-CNB14,00:00.0,00:00.0,51.66594,2.79998,180335
VR2Tx-480720,2178,VLVS7,00:00.0,00:00.0,51.35019,4.15036,338510
VR2Tx-480721,2166,VLVS2,00:00.0,00:00.0,51.34472,4.13151,342038
VR2Tx-480722,2175,VLVS14,00:00.0,00:00.0,51.36045,4.17565,340888
VR2Tx-480723,2118,bpns-BIRKENFELS,00:00.0,00:00.0,51.649333,2.533833333,8
VR2Tx-480723,2651,bpns-CPowerReefballs,00:00.0,00:00.0,51.5800044,2.9954894,66000
VR2Tx-480876,2505,S09-2,00:00.0,00:00.0,51.097162,5.11063,283000
VR2Tx-480876,2689,S09-2,00:00.0,00:00.0,51.097162,5.11063,295718
VR2Tx-480876,2690,S09-2,00:00.0,00:00.0,51.097162,5.11063,215748
VR2W-106251,1248,R01,00:00.0,00:00.0,51.552,2.923,5620
VR2W-106251,1249,R01,00:00.0,00:00.0,51.552,2.923,14704
VR2W-106251,1250,R01,00:00.0,00:00.0,51.552,2.923,212469
VR2W-106251,1549,bpns-OOSTDYCK,00:00.0,00:00.0,51.356333,2.518666667,3
VR2W-106252,1251,R02,00:00.0,00:00.0,51.55092,2.92157,57153
VR2W-106253,1253,R03,00:00.0,00:00.0,51.54947,2.92248,41120
VR2W-106253,1267,R03,00:00.0,00:00.0,51.54947,2.92248,35689
VR2W-108474,1550,bpns-S4,00:00.0,00:00.0,51.417167,3.0475,10
VR2W-108474,1686,bpns-S4,00:00.0,00:00.0,51.417167,3.0475,24
VR2W-108474,2000,bpns-S4,00:00.0,00:00.0,51.417167,3.0475,29
VR2W-110778,1252,R04,00:00.0,00:00.0,51.54957,2.92508,40242
VR2W-110778,1269,R04,00:00.0,00:00.0,51.54957,2.92508,33791
VR2W-110778,1270,R04,00:00.0,00:00.0,51.54957,2.92508,282345
VR2W-110778,1438,bpns-KB2,00:00.0,00:00.0,51.350667,2.703666667,24
VR2W-110779,1254,R05,00:00.0,00:00.0,51.55127,2.92557,39869
VR2W-110779,1272,R05,00:00.0,00:00.0,51.55127,2.92557,39487
VR2W-110779,1273,R05,00:00.0,00:00.0,51.55127,2.92557,197149
VR2W-110779,1274,bpns-VG2,00:00.0,00:00.0,51.4325,2.802,15
VR2W-110779,1553,bpns-VG2,00:00.0,00:00.0,51.4325,2.802,12
VR2W-110779,1680,bpns-VG2,00:00.0,00:00.0,51.4325,2.802,150
VR2W-110779,2007,bpns-VG2,00:00.0,00:00.0,51.4325,2.802,2
VR2W-110780,1255,R06,00:00.0,00:00.0,51.54935,2.92983,318
VR2W-110780,1275,R06,00:00.0,00:00.0,51.54935,2.92983,785
VR2W-110781,1256,R07,00:00.0,00:00.0,51.54847,2.92752,50768
VR2W-110781,1277,R07,00:00.0,00:00.0,51.54847,2.92752,146909
VR2W-110782,1257,R08,00:00.0,00:00.0,51.5469,2.92828,3874
VR2W-110782,1279,R08,00:00.0,00:00.0,51.5469,2.92828,27851
VR2W-110782,1280,R08,00:00.0,00:00.0,51.5469,2.92828,30760
VR2W-110783,1258,R09,00:00.0,00:00.0,51.54692,2.93085,2771
VR2W-110783,1282,R09,00:00.0,00:00.0,51.54692,2.93085,35890
VR2W-110783,1283,R09,00:00.0,00:00.0,51.54692,2.93085,26703
VR2W-110783,1284,R09,00:00.0,00:00.0,51.54692,2.93085,209134
VR2W-110783,1655,bpns-S4,00:00.0,00:00.0,51.417167,3.0475,1
VR2W-110783,1848,bpns-S4,00:00.0,00:00.0,51.417167,3.0475,18
VR2W-110784,1259,R10,00:00.0,00:00.0,51.54843,2.9316,1797
VR2W-110784,1262,R10,00:00.0,00:00.0,51.54843,2.9316,13009
VR2W-110784,1263,R10,00:00.0,00:00.0,51.54843,2.9316,10832
VR2W-110784,1264,R10,00:00.0,00:00.0,51.54843,2.9316,125087
VR2W-110784,1265,bpns-WK12,00:00.0,00:00.0,51.461167,3.107,1449
VR2W-110784,1555,bpns-WK12,00:00.0,00:00.0,51.461167,3.107,18548
VR2W-110784,1681,bpns-WK12,00:00.0,00:00.0,51.461167,3.107,2
VR2W-110784,1682,bpns-WK12,00:00.0,00:00.0,51.461167,3.107,54
