StationCode,TripactionID,Nutr_NH4,Nutr_NO2 ,Nutr_NO3 ,Nutr_NOX ,Nutr_PO4 ,Nutr_SiO2,Pigm_Chlorophyll_c3,Pigm_Chlorophyll_c2,Pigm_Chlorophyllide_a,Pigm_Pheophorbide_a,Pigm_Peridine,Pigm_19butanoyloxyfucoxanthin,Pigm_Fucoxanthin,Pigm_Neoxanthine,Pigm_Prasinoxanthin,Pigm_19hexanoylooxyfucoxanthine,Pigm_Diadinoxanthin,Pigm_Antheraxanthin,Pigm_Alloxanthin,Pigm_Diatoxanthin,Pigm_Zeaxanthin,Pigm_Chlorophyll_b,Pigm_Echinenone,Pigm_Chlorophyll_a,Pigm_Pheophytin_a,Pigm_BetaCarotene,CTD_Pressure,CTD_Temperature,CTD_Conductivity,CTD_Obs,CTD_Altimeter,CTD_Par,CTD_FlECO-AFL,CTD_Sbeox,CTD_Sbeox0PS,CTD_Salinity,CTD_SvCM,CTD_Density,UW_FLRTchla,Latitude,Longitude,UW_Salinity,UW_Temperature,UW_RelativeHumidity,UW_WindDirection,UW_WindSpeed,UW_AirPressure,UW_SoundVelocity,UW_WaterFlow,UW_OctansHeading,UW_CourseOverGround,UW_SpeedOverGround,UW_OdomDepth33khz,UW_OdomDepth200khz,UW_NavDepth50khz,StartDate,EndDate
1,105837,1.63,0.17,3.92,4.09,0.1,5.26,0.108,0.3129,1.5762,0,0,0,1.9595,0,0,0,0.2686,0.045,0.0175,0.0396,0,0,0,4.7197,0,0.0735,3.026,12.1536,36646,10.04,7.28,0,7.01,7.42,84.24,31.6157,1493.36,1023.9471,2.87,51.2701877,2.902802,31.34,12.1523,97,116.3,0.06,0.994,1493.27,0.84,55.73,48,2.1,6.68,6.73,6.8,11/05/2017 21:37,11/05/2017 21:37
2,2000105592,7.22,0.17,3.59,3.76,0.46,7.71,0,0.1079,0.3377,0,0,0,1.0063,0,0,0,0.1005,0.0103,0.0082,0.0181,0,0,0,2.1066,0,0.0399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68,51.1849527,2.6989522,32.568,11.8161,89,9.1,1.77,1.022,1493.58,0.95,263.3,273.8,1.9,8.21,8.28,8.2,08/05/2017 14:37,08/05/2017 14:37
3,2000105595,0.6,0.04,0.37,0.41,0.12,2.16,0.4919,0.1399,1.2159,0,0,0.099,1.0051,0,0.0922,0,0.1306,0,0,0.017,0,0,0,2.1421,0,0.0096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.91,51.0981638,2.1977093,34.224,11.4318,81,6.1,1.1,1.023,1494.24,0.94,286.97,224.1,2.3,1.46,NA,NA,08/05/2017 17:25,08/05/2017 17:29
4,2000105596,0.95,0.1,0.51,0.61,0.08,2.41,0.4032,0.1251,0.7262,0,0,0.0965,0.8605,0,0,0,0.1194,0,0,0.0119,0.0153,0,0,1.7775,0,0.0128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.88,51.1885285,2.185551,34.013,11.3501,82,3.1,0.1,1.024,1493.7,0.94,27.04,25.4,8.5,27.08,27.15,26.5,08/05/2017 19:24,08/05/2017 19:24
5,2000105597,0.84,0.03,0.19,0.22,0.08,2.1,0.3202,0.2365,0,0,0,0.0787,0.7589,0,0.0678,0,0.1019,0,0,0,0,0,0,1.7015,0,0.0096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.37,51.0120288,1.902171,34.302,11.4727,83,19.7,0.69,1.025,1494.47,0.93,321.19,156.3,1.2,26.58,26.21,27.4,08/05/2017 20:50,08/05/2017 20:50
6,2000105602,0.44,0.07,0.82,0.89,0.06,2.27,0.3578,0.2749,0,0,0,0.052,0.7564,0,0.0108,0,0.0955,0,0.0077,0,0.0191,0,0,2.2788,0,0.0235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.62,50.8380575,1.4943462,34.442,11.3062,80,25.7,1.53,1.024,1494.06,0.94,285.29,147.1,2.8,NA,NA,35.5,08/05/2017 23:50,08/05/2017 23:51
7,2000105607,0.17,0.01,0.15,0.16,0.05,0.66,0.3222,0.2093,0,0,0,0.0432,0.665,0.0705,0.0759,0,0.0812,0,0,0,0,0,0,1.4888,0,0.0096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.4908703,1.5201343,33.942,11.703,82,20.4,0.17,1.024,1494.84,0.95,286.85,192.6,1.2,9.91,9.91,9.9,09/05/2017 02:05,09/05/2017 02:06
8,105681,0.37,0.01,0.1,0.11,0.03,0.91,0.0535,0.0545,0,0,0,0.0102,0.165,0.0123,0.0176,0,0.035,0,0.0116,0.0064,0.01,0.0142,0,0.4785,0,0.0075,3.026,11.1109,39162,0.88,31.1,39.09,0.85,8.83,100.22,35.0142,1493.83,1026.78,0.76,50.6741928,1.1860995,34.802,11.1068,68,39.2,5.88,1.017,1493.8,0.83,225.66,219.8,4.3,28.97,28.03,27.9,09/05/2017 18:18,09/05/2017 18:18
9,105624,0.59,0.07,2.83,2.9,0.1,0.95,0.3524,0.289,0,0,0,0.097,1.1631,0.0355,0,0,0.16,0,0.0281,0.0174,0.0204,0.0503,0,2.2484,0,0.0352,3.026,11.1812,39163,2.67,19.6,318.2,5.55,9.04,102.66,34.9478,1493.99,1026.7155,3.47,50.8794197,0.8979157,34.749,11.1668,72,49.1,0.04,1.022,1493.95,0.84,18.95,23.5,4.1,17.51,17.48,17.5,09/05/2017 08:34,09/05/2017 08:34
10,105616,0.33,0.02,0.17,0.19,0.04,0.78,0.0495,0.038,0,0,0.0257,0.0102,0.2707,0,0,0,0.0494,0,0,0.0091,0.0083,0,0,0.3899,0,0.0057,3.026,10.909,39094,1.01,35.8,183.17,0.45,8.79,99.39,35.1388,1493.27,1026.9139,0.59,50.7017383,0.8798393,34.939,10.9043,84,23.9,0.35,1.023,1493.26,0.94,285.37,240,0.4,NA,NA,36.1,09/05/2017 06:41,09/05/2017 06:41
11,2000105613,0.33,0.02,0.2,0.22,0.03,1.32,0.0489,0.0347,0,0,0,0,0.1658,0,0,0,0.0202,0,0,0,0,0,0,0.3444,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16,50.5748432,1.062474,34.754,11.082,75,41.7,0.12,1.023,1493.66,0.93,330.41,320.1,9,NA,NA,34.1,09/05/2017 05:06,09/05/2017 05:08
12,2000105612,0.34,0.03,0.06,0.09,0.02,1.58,0.3074,0.1123,0.5348,0,0,0.066,0.6464,0,0,0,0.0955,0,0,0.0125,0.0064,0,0,0.5773,0,0,3.026,11.3717,39293,1.94,14.25,0,8.58,8.52,97.15,34.8967,1494.59,1026.6407,6.17,50.4038882,1.2667993,34.702,11.3729,77,22.5,0.19,1.023,1494.61,0.95,299.11,269.1,2.7,13.74,13.74,13.9,09/05/2017 03:29,09/05/2017 03:33
13,2000105605,0.33,0.03,0.13,0.16,0.07,1.78,0.1484,0.0648,0.3637,0,0,0.0312,0.3749,0,0,0,0.0478,0,0,0,0,0,0,0.9583,0,0.0074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.53,50.588467,1.4990263,34.334,11.5058,80,27.5,0.25,1.024,1494.63,0.93,260.94,NA,0.4,24.01,23.39,23.4,09/05/2017 01:34,09/05/2017 01:34
14,105670,0.46,0.05,0.99,1.04,0.04,0.85,0.0989,0.0567,0.3884,0,0.0487,0.0184,0.316,0,0.0251,0,0.0514,0,0.0274,0.0068,0.0038,0.0322,0,0.5887,0,0.0134,3.026,11.082,39108,0.91,21.9,53.28,1.57,8.99,101.96,34.9881,1493.7,1026.765,1.14,50.7719275,1.2733055,34.778,11.084,70,40.2,0.33,1.017,1493.69,0.83,299.99,206.3,3.2,23.41,23.34,23.5,09/05/2017 17:10,09/05/2017 17:14
15,105632,0.49,0.11,6.04,6.15,0.19,0.44,0.245,0.2105,0.1309,0,0.0294,0.0622,0.7995,0,0,0,0.1194,0,0.0482,0.0268,0.0072,0.0862,0,1.7965,0,0.0329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34,50.9418728,1.0486975,34.657,11.2076,76,72,0.14,1.022,1493.98,0.83,300.94,54.4,0.8,29.75,29.71,30,09/05/2017 09:51,09/05/2017 09:51
